"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
166,"Los Lagos","Chiloé","Queilén","10207","N° de hogares con jefa de hogar mujer","1396",NULL,"ADIS"
167,"Los Lagos","Chiloé","Quellón","10208","N° de hogares con jefa de hogar mujer","5691",NULL,"ADIS"
168,"Los Lagos","Chiloé","Quemchi","10209","N° de hogares con jefa de hogar mujer","1653",NULL,"ADIS"
169,"Los Lagos","Chiloé","Quinchao","10210","N° de hogares con jefa de hogar mujer","1396",NULL,"ADIS"
170,"Los Lagos","Osorno","Osorno","10301","N° de hogares con jefa de hogar mujer","33202",NULL,"ADIS"
171,"Los Lagos","Osorno","Puerto Octay","10302","N° de hogares con jefa de hogar mujer","1783",NULL,"ADIS"
172,"Los Lagos","Osorno","Purranque","10303","N° de hogares con jefa de hogar mujer","4466",NULL,"ADIS"
173,"Los Lagos","Osorno","Puyehue","10304","N° de hogares con jefa de hogar mujer","1495",NULL,"ADIS"
174,"Los Lagos","Osorno","Río Negro","10305","N° de hogares con jefa de hogar mujer","3137",NULL,"ADIS"
175,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de hogares con jefa de hogar mujer","1403",NULL,"ADIS"
176,"Los Lagos","Osorno","San Pablo","10307","N° de hogares con jefa de hogar mujer","2138",NULL,"ADIS"
177,"Los Lagos","Palena","Chaitén","10401","N° de hogares con jefa de hogar mujer","714",NULL,"ADIS"
178,"Los Lagos","Palena","Futaleufú","10402","N° de hogares con jefa de hogar mujer","509",NULL,"ADIS"
179,"Los Lagos","Palena","Hualaihué","10403","N° de hogares con jefa de hogar mujer","1904",NULL,"ADIS"
180,"Los Lagos","Palena","Palena","10404","N° de hogares con jefa de hogar mujer","351",NULL,"ADIS"
