"id","region","provincia","comuna","cut","variable","valor","ano","fuente"
118,"Los Lagos","Palena","Futaleufú","10402","N° de personas con dependencia moderada o severa","13",NULL,"ADIS"
119,"Los Lagos","Palena","Hualaihué","10403","N° de personas con dependencia moderada o severa","99",NULL,"ADIS"
120,"Los Lagos","Palena","Palena","10404","N° de personas con dependencia moderada o severa",NULL,NULL,"ADIS"
121,"Los Lagos","Llanquihue","Puerto Montt","10101","N° total de personas","203847",NULL,"ADIS"
122,"Los Lagos","Llanquihue","Calbuco","10102","N° total de personas","33681",NULL,"ADIS"
123,"Los Lagos","Llanquihue","Cochamó","10103","N° total de personas","4276",NULL,"ADIS"
124,"Los Lagos","Llanquihue","Fresia","10104","N° total de personas","11665",NULL,"ADIS"
125,"Los Lagos","Llanquihue","Frutillar","10105","N° total de personas","18653",NULL,"ADIS"
126,"Los Lagos","Llanquihue","Los Muermos","10106","N° total de personas","17025",NULL,"ADIS"
127,"Los Lagos","Llanquihue","Llanquihue","10107","N° total de personas","16601",NULL,"ADIS"
128,"Los Lagos","Llanquihue","Maullín","10108","N° total de personas","15010",NULL,"ADIS"
129,"Los Lagos","Llanquihue","Puerto Varas","10109","N° total de personas","34998",NULL,"ADIS"
130,"Los Lagos","Chiloé","Castro","10201","N° total de personas","43052",NULL,"ADIS"
131,"Los Lagos","Chiloé","Ancud","10202","N° total de personas","40714",NULL,"ADIS"
132,"Los Lagos","Chiloé","Chonchi","10203","N° total de personas","14014",NULL,"ADIS"
133,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° total de personas","3654",NULL,"ADIS"
134,"Los Lagos","Chiloé","Dalcahue","10205","N° total de personas","14589",NULL,"ADIS"
135,"Los Lagos","Chiloé","Chiloé","10206","N° total de personas","3815",NULL,"ADIS"
136,"Los Lagos","Chiloé","Queilén","10207","N° total de personas","5601",NULL,"ADIS"
137,"Los Lagos","Chiloé","Quellón","10208","N° total de personas","25877",NULL,"ADIS"
138,"Los Lagos","Chiloé","Quemchi","10209","N° total de personas","8430",NULL,"ADIS"
139,"Los Lagos","Chiloé","Quinchao","10210","N° total de personas","7653",NULL,"ADIS"
140,"Los Lagos","Osorno","Osorno","10301","N° total de personas","135163",NULL,"ADIS"
141,"Los Lagos","Osorno","Puerto Octay","10302","N° total de personas","8470",NULL,"ADIS"
142,"Los Lagos","Osorno","Purranque","10303","N° total de personas","19542",NULL,"ADIS"
143,"Los Lagos","Osorno","Puyehue","10304","N° total de personas","10308",NULL,"ADIS"
144,"Los Lagos","Osorno","Río Negro","10305","N° total de personas","14019",NULL,"ADIS"
145,"Los Lagos","Osorno","San Juan de la Costa","10306","N° total de personas","8599",NULL,"ADIS"
146,"Los Lagos","Osorno","San Pablo","10307","N° total de personas","10383",NULL,"ADIS"
147,"Los Lagos","Palena","Chaitén","10401","N° total de personas","4236",NULL,"ADIS"
148,"Los Lagos","Palena","Futaleufú","10402","N° total de personas","2644",NULL,"ADIS"
149,"Los Lagos","Palena","Hualaihué","10403","N° total de personas","9744",NULL,"ADIS"
150,"Los Lagos","Palena","Palena","10404","N° total de personas","1649",NULL,"ADIS"
151,"Los Lagos","Llanquihue","Puerto Montt","10101","N° de personas mayores (60 años o más)","30369",NULL,"ADIS"
152,"Los Lagos","Llanquihue","Calbuco","10102","N° de personas mayores (60 años o más)","6765",NULL,"ADIS"
153,"Los Lagos","Llanquihue","Cochamó","10103","N° de personas mayores (60 años o más)","1061",NULL,"ADIS"
154,"Los Lagos","Llanquihue","Fresia","10104","N° de personas mayores (60 años o más)","2699",NULL,"ADIS"
155,"Los Lagos","Llanquihue","Frutillar","10105","N° de personas mayores (60 años o más)","3359",NULL,"ADIS"
156,"Los Lagos","Llanquihue","Los Muermos","10106","N° de personas mayores (60 años o más)","3798",NULL,"ADIS"
157,"Los Lagos","Llanquihue","Llanquihue","10107","N° de personas mayores (60 años o más)","3124",NULL,"ADIS"
158,"Los Lagos","Llanquihue","Maullín","10108","N° de personas mayores (60 años o más)","3612",NULL,"ADIS"
159,"Los Lagos","Llanquihue","Puerto Varas","10109","N° de personas mayores (60 años o más)","5975",NULL,"ADIS"
160,"Los Lagos","Chiloé","Castro","10201","N° de personas mayores (60 años o más)","7163",NULL,"ADIS"
161,"Los Lagos","Chiloé","Ancud","10202","N° de personas mayores (60 años o más)","8156",NULL,"ADIS"
162,"Los Lagos","Chiloé","Chonchi","10203","N° de personas mayores (60 años o más)","2595",NULL,"ADIS"
163,"Los Lagos","Chiloé","Curaco de Vélez","10204","N° de personas mayores (60 años o más)","839",NULL,"ADIS"
164,"Los Lagos","Chiloé","Dalcahue","10205","N° de personas mayores (60 años o más)","2426",NULL,"ADIS"
165,"Los Lagos","Chiloé","Chiloé","10206","N° de personas mayores (60 años o más)","922",NULL,"ADIS"
166,"Los Lagos","Chiloé","Queilén","10207","N° de personas mayores (60 años o más)","1139",NULL,"ADIS"
167,"Los Lagos","Chiloé","Quellón","10208","N° de personas mayores (60 años o más)","3459",NULL,"ADIS"
168,"Los Lagos","Chiloé","Quemchi","10209","N° de personas mayores (60 años o más)","1969",NULL,"ADIS"
169,"Los Lagos","Chiloé","Quinchao","10210","N° de personas mayores (60 años o más)","1686",NULL,"ADIS"
170,"Los Lagos","Osorno","Osorno","10301","N° de personas mayores (60 años o más)","26138",NULL,"ADIS"
171,"Los Lagos","Osorno","Puerto Octay","10302","N° de personas mayores (60 años o más)","1734",NULL,"ADIS"
172,"Los Lagos","Osorno","Purranque","10303","N° de personas mayores (60 años o más)","4462",NULL,"ADIS"
173,"Los Lagos","Osorno","Puyehue","10304","N° de personas mayores (60 años o más)","2285",NULL,"ADIS"
174,"Los Lagos","Osorno","Río Negro","10305","N° de personas mayores (60 años o más)","3209",NULL,"ADIS"
175,"Los Lagos","Osorno","San Juan de la Costa","10306","N° de personas mayores (60 años o más)","2187",NULL,"ADIS"
176,"Los Lagos","Osorno","San Pablo","10307","N° de personas mayores (60 años o más)","2508",NULL,"ADIS"
177,"Los Lagos","Palena","Chaitén","10401","N° de personas mayores (60 años o más)","858",NULL,"ADIS"
178,"Los Lagos","Palena","Futaleufú","10402","N° de personas mayores (60 años o más)","502",NULL,"ADIS"
179,"Los Lagos","Palena","Hualaihué","10403","N° de personas mayores (60 años o más)","1718",NULL,"ADIS"
180,"Los Lagos","Palena","Palena","10404","N° de personas mayores (60 años o más)","387",NULL,"ADIS"
